x,X,Enter_Participant_ID,date,psychopyVersion,item,clicks,objects,target_pos,probe_obj,probe_p1,probe_p2,probe_p3,probe_p4,probe_p5,probe_p6,probe_p7,test_p1,test_p2,test_p3,test_p4,test_p5,test_p6,test_p7,test_p8,test_p9,test_p10,test_p11,test_p12,test_p13,test_p14,test_p15,test_p16,test_p17,test_p18,test_p19,test_p20,corr_p1,corr_p2,corr_p3,corr_p4,corr_p5,corr_p6,corr_p7,corr_p8,corr_p9,corr_p10,corr_p11,corr_p12,corr_p13,corr_p14,corr_p15,corr_p16,corr_p17,corr_p18,corr_p19,corr_p20,P1T_rectangle,P2T_rectangle,P3T_rectangle,P4T_rectangle,P5T_rectangle,P6T_rectangle,P7T_rectangle,P8T_rectangle,P9T_rectangle,P10T_rectangle,P11T_rectangle,P12T_rectangle,P13T_rectangle,P14T_rectangle,P15T_rectangle,P16T_rectangle,P17T_rectangle,P18T_rectangle,P19T_rectangle,P20T_rectangle,presented,start,end,rt,accuracy,totaltime
77,9,T9999,2024-01-09_10h23.18.270,2022.2.5,item04,1,3,test_p4,p4,colored PNG/PICTURE_423.png,,,,,,,colored PNG/PICTURE_78.png,None,None,colored PNG/PICTURE_423.png,colored PNG/PICTURE_353.png,None,None,None,None,,,,,,,,,,,,0,0,0,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,32.6733675,35.59342854,2.920061041,0,66.35293321
78,10,T9999,2024-01-09_10h23.18.270,2022.2.5,item05,1,3,test_p5,p5,colored PNG/PICTURE_695.png,,,,,,,colored PNG/PICTURE_285.png,None,None,colored PNG/PICTURE_78.png,colored PNG/PICTURE_695.png,None,None,None,None,,,,,,,,,,,,0,0,0,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,40.17693546,41.62347667,1.446541208,0,66.35293321
79,11,T9999,2024-01-09_10h23.18.270,2022.2.5,item06,1,3,test_p1,p1,colored PNG/PICTURE_353.png,,,,,,,colored PNG/PICTURE_264.png,None,None,colored PNG/PICTURE_353.png,colored PNG/PICTURE_423.png,None,None,None,None,,,,,,,,,,,,0,0,0,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,45.47614992,48.00849233,2.532342417,0,66.35293321
80,12,T9999,2024-01-09_10h23.18.270,2022.2.5,item07,1,4,test_p3,p3,colored PNG/PICTURE_285.png,,,,,,,None,colored PNG/PICTURE_264.png,colored PNG/PICTURE_285.png,None,None,colored PNG/PICTURE_353.png,colored PNG/PICTURE_695.png,None,None,,,,,,,,,,,,0,0,1,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,51.97499525,54.36264858,2.387653333,0,66.35293321
81,13,T9999,2024-01-09_10h23.18.270,2022.2.5,item08,1,4,test_p2,p2,colored PNG/PICTURE_78.png,,,,,,,None,colored PNG/PICTURE_78.png,colored PNG/PICTURE_264.png,None,None,colored PNG/PICTURE_695.png,colored PNG/PICTURE_423.png,None,None,,,,,,,,,,,,0,1,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,58.33504354,60.61841508,2.283371542,0,66.35293321
82,14,T9999,2024-01-09_10h23.18.270,2022.2.5,item09,1,5,test_p9,p9,colored PNG/PICTURE_285.png,,,,,,,colored PNG/PICTURE_78.png,None,None,colored PNG/PICTURE_695.png,colored PNG/PICTURE_264.png,None,None,colored PNG/PICTURE_353.png,colored PNG/PICTURE_285.png,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,64.72770125,66.35293321,1.625231958,0,66.35293321
83,16,T9999,2024-01-09_10h23.18.270,2022.2.5,sample2,None,NA,,,None,colored PNG/PICTURE_122.png,colored PNG/PICTURE_268.png,None,,,,None,colored PNG/PICTURE_122.png,colored PNG/PICTURE_446.png,None,None,colored PNG/PICTURE_268.png,colored PNG/PICTURE_324.png,,,,,,,,,,,,,,0,1,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,66.37550621,66.39149517,0.015988958,0,66.35293321
84,18,T9999,2024-01-09_10h23.18.270,2022.2.5,item_10,2,4,2.3,p3_p6,None,colored PNG/PICTURE_672.png,colored PNG/PICTURE_3.png,None,None,None,None,None,colored PNG/PICTURE_360.png,colored PNG/PICTURE_672.png,None,None,colored PNG/PICTURE_3.png,colored PNG/PICTURE_585.png,None,None,None,None,None,None,None,None,None,None,None,None,None,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,66.44966183,NA,0,0,66.35293321
85,19,T9999,2024-01-09_10h23.18.270,2022.2.5,item_11,2,4,2.3,p2_p6,None,colored PNG/PICTURE_309.png,colored PNG/PICTURE_190.png,None,None,None,None,None,colored PNG/PICTURE_190.png,colored PNG/PICTURE_585.png,None,None,colored PNG/PICTURE_309.png,colored PNG/PICTURE_3.png,None,None,None,None,None,None,None,None,None,None,None,None,None,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,66.496968,NA,0,0,66.35293321
86,20,T9999,2024-01-09_10h23.18.270,2022.2.5,item_12,2,4,2.3,p6_p7,None,colored PNG/PICTURE_585.png,colored PNG/PICTURE_360.png,None,None,None,None,None,colored PNG/PICTURE_672.png,colored PNG/PICTURE_309.png,None,None,colored PNG/PICTURE_360.png,colored PNG/PICTURE_585.png,None,None,None,None,None,None,None,None,None,None,None,None,None,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,66.53374917,NA,0,0,66.35293321
87,21,T9999,2024-01-09_10h23.18.270,2022.2.5,item_13,2,4,2.3,p3_p6,None,colored PNG/PICTURE_585.png,colored PNG/PICTURE_190.png,None,None,None,None,None,colored PNG/PICTURE_360.png,colored PNG/PICTURE_585.png,None,None,colored PNG/PICTURE_190.png,colored PNG/PICTURE_672.png,None,None,None,None,None,None,None,None,None,None,None,None,None,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,66.57156767,NA,0,0,66.35293321
88,22,T9999,2024-01-09_10h23.18.270,2022.2.5,item_14,2,5,2.3,p8_p9,None,colored PNG/PICTURE_3.png,colored PNG/PICTURE_360.png,None,None,None,None,colored PNG/PICTURE_309.png,None,None,colored PNG/PICTURE_585.png,colored PNG/PICTURE_190.png,None,None,colored PNG/PICTURE_360.png,colored PNG/PICTURE_3.png,None,None,None,None,None,None,None,None,None,None,None,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,66.60889696,NA,0,0,66.35293321
89,23,T9999,2024-01-09_10h23.18.270,2022.2.5,item_15,2,5,2.3,p1_p8,None,colored PNG/PICTURE_672.png,colored PNG/PICTURE_190.png,None,None,None,None,colored PNG/PICTURE_672.png,None,None,colored PNG/PICTURE_360.png,colored PNG/PICTURE_309.png,None,None,colored PNG/PICTURE_190.png,colored PNG/PICTURE_3.png,None,None,None,None,None,None,None,None,None,None,None,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,66.66272883,NA,0,0,66.35293321
90,24,T9999,2024-01-09_10h23.18.270,2022.2.5,item_16,2,6,2.3,p6_p7,None,colored PNG/PICTURE_309.png,colored PNG/PICTURE_3.png,None,None,None,None,None,colored PNG/PICTURE_190.png,colored PNG/PICTURE_672.png,None,None,colored PNG/PICTURE_3.png,colored PNG/PICTURE_309.png,None,None,colored PNG/PICTURE_360.png,colored PNG/PICTURE_585.png,None,None,None,None,None,None,None,None,None,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,66.70926933,NA,0,0,66.35293321
91,25,T9999,2024-01-09_10h23.18.270,2022.2.5,item_17,2,6,2.3,p3_p6,None,colored PNG/PICTURE_672.png,colored PNG/PICTURE_585.png,None,None,None,None,None,colored PNG/PICTURE_309.png,colored PNG/PICTURE_672.png,None,None,colored PNG/PICTURE_585.png,colored PNG/PICTURE_190.png,None,None,colored PNG/PICTURE_3.png,colored PNG/PICTURE_360.png,None,None,None,None,None,None,None,None,None,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,66.7512275,NA,0,0,66.35293321
92,26,T9999,2024-01-09_10h23.18.270,2022.2.5,item_18,2,6,2.3,p7_p10,None,colored PNG/PICTURE_309.png,colored PNG/PICTURE_360.png,None,None,None,None,None,colored PNG/PICTURE_672.png,colored PNG/PICTURE_190.png,None,None,colored PNG/PICTURE_3.png,colored PNG/PICTURE_309.png,None,None,colored PNG/PICTURE_360.png,colored PNG/PICTURE_585.png,None,None,None,None,None,None,None,None,None,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,66.79213008,NA,0,0,66.35293321
93,27,T9999,2024-01-09_10h23.18.270,2022.2.5,item_19,3,5,"1,4,5",p1_p8_p9,colored PNG/PICTURE_90.png,None,None,colored PNG/PICTURE_100.png,colored PNG/PICTURE_430.png,None,None,colored PNG/PICTURE_100.png,None,None,colored PNG/PICTURE_448.png,colored PNG/PICTURE_1.png,None,None,colored PNG/PICTURE_430.png,colored PNG/PICTURE_90.png,None,None,None,None,None,None,None,None,None,None,None,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,66.88626354,NA,0,0,66.35293321
